ranking,full name,ticker,industry,sector,hq location,hq address,years on list,ceo,eps,employees,revenues,profits,hq zip,website,market value,global 500 rank,revenue change,profit change,hq state
820,Vectren Corporation,VVC,Utilities: Gas and Electric,Energy,"Evansville, IN",1 Vectren Sq.,,Carl L. Chapman,2.55,5800,2448,211.6,47708,http://www.vectren.com,4862,,0.6,7.2,IN
821,"Gartner, Inc.",IT,Information Technology Services,Technology,"Stamford, CT",56 Top Gallant Rd.,,Eugene A. Hall,2.31,8813,2445,193.6,6902,http://www.gartner.com,8961,,13,10.2,CT
822,"On Assignment, Inc.",ASGN,Temporary Help,Business Services,"Calabasas, CA",26745 Malibu Hills Rd.,,Peter T. Dameris,1.81,3620,2440,97.2,91301,http://www.onassignment.com,2555,,17.5,-0.5,CA
823,Southwestern Energy Company,SWN,"Mining, Crude-Oil Production",Energy,"Spring, TX",10000 Energy Dr.,,William J. Way,-6.32,1469,2436,-2643,77389,http://www.swn.com,4068,,-22.2,,TX
824,PAREXEL International Corporation,PRXL,Health Care: Pharmacy and Other Services,Health Care,"Waltham, MA",195 West St.,,Josef H. von Rickenbach,2.86,18600,2426,154.9,2451,http://www.parexel.com,3216,,4.1,4.8,MA
825,Equity Residential,EQR,Real Estate,Financials,"Chicago, IL",2 N. Riverside Plaza,,David J. Neithercut,11.68,2700,2426,4292.2,60606,http://www.equityapartments.com,22841,,-11.6,393.3,IL
826,"J.Crew Group, Inc.",,Specialty Retailers: Apparel,Retailing,"New York, NY",770 Broadway,,James W. Brett,,9950,2426,-23.5,10003,http://www.jcrew.com,,,-3.2,,NY
827,"Synopsys, Inc.",SNPS,Computer Software,Technology,"Mountain View, CA",690 E. Middlefield Rd.,,"Aart J. de Geus, Chi-Foon Chan",1.73,10669,2423,266.8,94043,http://www.synopsys.com,10854,,8,18.1,CA
828,Moog Inc.,MOGA,Aerospace and Defense,Aerospace & Defense,"Elma, NY",400 Jamison Rd.,,John R. Scannell,3.47,10497,2412,126.7,14059,http://www.moog.com,2416,,-4.5,-3.9,NY
829,Cabot Corporation,CBT,Chemicals,Chemicals,"Boston, MA",2 Seaport Lane,,Sean D. Keohane,2.36,4300,2411,149,2210,http://www.cabotcorp.com,3726,,-16,,MA
830,ITT Corporation,ITT,Industrial Machinery,Industrials,"White Plains, NY",1133 Westchester Ave.,,Denise L. Ramos,2.07,9500,2405,186.1,10604,http://www.itt.com,3637,,-3.2,-47.1,NY
831,"TRI Pointe Group, Inc.",TPH,Homebuilders,Engineering & Construction,"Irvine, CA",19540 Jamboree Rd.,,Douglas F. Bauer,1.21,1137,2405,195.2,92612,http://www.tripointegroup.com,1995,,0.2,-5,CA
832,"MAXIMUS, INC.",MMS,Information Technology Services,Technology,"Reston, VA",1891 Metro Center Dr.,,Richard A. Montoni,2.69,18800,2403,178.4,20190,http://www.maximus.com,4031,,14.5,13.1,VA
833,"Illumina, Inc.",ILMN,"Scientific, Photographic and Control Equipment",Technology,"San Diego, CA",5200 Illumina Way,,Francis A. deSouza,3.07,5500,2398,462.6,92122,http://www.illumina.com,24911,,8,0.2,CA
834,Amica Mutual Insurance Co.,,Insurance: Property and Casualty (Mutual),Financials,"Lincoln, RI",100 Amica Way,,Robert A. DiMuccio,,3682,2397,157.3,2865,http://www.amica.com,,,7.5,150.1,RI
835,Alere Inc.,ALR,Medical Products and Equipment,Health Care,"Waltham, MA",51 Sawyer Rd.,,Namal Nawana,-0.73,9200,2395,-39.3,2453,http://www.alere.com,3457,,-3.1,-119.1,MA
836,The Toro Company,TTC,Construction and Farm Machinery,Industrials,"Bloomington, MN",8111 Lyndale Ave. S.,,Richard M. Olson,2.06,6834,2392,231,55420,http://www.thetorocompany.com,6720,,0.1,14.6,MN
837,Sprague Resources LP,SRLP,Wholesalers: Diversified,Wholesalers,"Portsmouth, NH",185 International Dr.,,David C. Glendon,0.38,600,2390,10.2,3801,http://www.spragueenergy.com,580,,-31.4,-87,NH
838,"G-III Apparel Group, Ltd.",GIII,Apparel,Apparel,"New York, NY",512 Seventh Ave.,,Morris Goldfarb,1.1,9826,2386,51.9,10018,http://www.g-iii.com,1065,,1.8,-54.6,NY
839,"Hawaiian Electric Industries, Inc.",HE,Utilities: Gas and Electric,Energy,"Honolulu, HI",1001 Bishop St.,,Constance H. Lau,2.29,3796,2381,248.3,96813,http://www.hei.com,3622,,-8.5,55.3,HI
840,Pinnacle Entertainment Inc.,PNK,"Hotels, Casinos, Resorts","Hotels, Restaurants & Leisure","Las Vegas, NV",3980 Howard Hughes Pkwy.,,Anthony M. Sanfilippo,-7.79,16092,2379,-457.4,89169,http://www.pnkinc.com,1101,,3.8,-1035.6,NV
841,Columbia Sportswear Company,COLM,Apparel,Apparel,"Portland, OR",14375 N.W. Science Park Dr.,,Timothy P. Boyle,2.72,6023,2377,191.9,97229,http://www.columbia.com,4082,,2.2,10.1,OR
842,First Republic Bank,FRC,Commercial Banks,Financials,"San Francisco, CA",111 Pine St.,,James H. Herbert II,3.93,3566,2376,673.4,94111,http://www.firstrepublic.com,14739,,19.4,29,CA
843,Komatsu Mining Corp.,,Construction and Farm Machinery,Industrials,"Milwaukee, WI",100 E. Wisconsin Ave.,,Jeffrey Dawes,-0.59,10000,2371,-58.4,53202,http://www.joyglobal.com,2814,,-25.2,,WI
844,Trimble Inc.,TRMB,"Scientific, Photographic and Control Equipment",Technology,"Sunnyvale, CA",935 Stewart Dr.,,Steven W. Berglund,0.52,8388,2362,132.4,94085,http://www.trimble.com,8091,,3.1,9.3,CA
845,Edgewell Personal Care Company,EPC,Household and Personal Products,Household Products,"Chesterfield, MO",1350 Timberlake Manor Pkwy.,,David P. Hatfield,2.99,6000,2362,178.7,63017,http://www.edgewell.com,4200,,-2.4,,MO
846,Belden Inc.,BDC,"Electronics, Electrical Equipment",Industrials,"St. Louis, MO",1 N. Brentwood Blvd.,,John S. Stroup,2.65,8400,2357,128,63105,http://www.belden.com,2919,,2.1,93.3,MO
847,"DST Systems, Inc.",DST,Financial Data Services,Business Services,"Kansas City, MO",333 W. 11th St.,,Stephen C. Hooley,12.82,9800,2355,427.3,64105,http://www.dstsystems.com,3855,,-16.7,19.3,MO
848,"WGL Holdings, Inc.",WGL,Energy,Energy,"Washington, DC",101 Constitution Ave. N.W.,,Terry D. McCallister,3.31,1554,2350,167.6,20080,http://www.wglholdings.com,4227,,-11.7,27.7,DC
849,GGP Inc.,GGP,Real Estate,Financials,"Chicago, IL",110 N. Wacker Dr.,,Sandeep Mathrani,1.34,1800,2346,1288.4,60606,http://www.ggp.com,20478,,-2.4,-6.3,IL
850,"Brocade Communications Systems, Inc.",BRCD,Network and Other Communications Equipment,Technology,"San Jose, CA",130 Holger Way,,Lloyd A. Carney,0.51,5960,2346,213.8,95134,http://www.brocade.com,5088,,3.6,-37.2,CA
851,"Akamai Technologies, Inc.",AKAM,Computer Software,Technology,"Cambridge, MA",150 Broadway,,F. Thomson Leighton,1.79,6490,2340,316.1,2142,http://www.akamai.com,10365,,6.5,-1.6,MA
852,Nationstar Mortgage Holdings Inc.,NSM,Diversified Financials,Financials,"Coppell, TX",8950 Cypress Waters Blvd.,,Jay Bray,0.19,7750,2340,19,75019,http://www.mynationstar.com,1541,,,-51,TX
